10	0.1138720741440164
20	0.2254169527256843
30	0.34553562399774496
40	0.4662375898644476
50	0.577149492089111
60	0.676575891747333
70	0.7638346995457564
80	0.8398314797052062
90	0.9062563340262612
100	0.9641737566135897
111	1.0192521379725767
121	1.0624422773276225
131	1.0999229036935485
141	1.1321443643900428
151	1.1598350606342354
161	1.1835733888172868
171	1.2039198013815549
181	1.2215150948798303
191	1.2366486480920622
201	1.2497446548820723
211	1.2612162781233835
222	1.2721883507058172
232	1.2810977968839135
242	1.2890377528596633
252	1.2961276332930762
262	1.3024916684273447
272	1.3082429996811518
282	1.313511846089127
292	1.3183679214798578
302	1.3228033450570438
312	1.3269216577605445
322	1.3307246418282537
333	1.3345934707339446
343	1.337833287692306
353	1.3408447905342178
363	1.3436543823468803
373	1.3462770008804774
383	1.3487130497941877
393	1.3509881213159844
403	1.3531394382514577
413	1.3551352649632067
423	1.3569926342161576
433	1.3587529139943642
444	1.3605382501488865
454	1.3620494887380317
464	1.3634718302452917
474	1.3648012132927922
484	1.3660385974562994
494	1.367202615973973
504	1.3682906297173831
514	1.3693076501978505
524	1.3702641218015463
534	1.3711533357601355
544	1.3719825886263706
555	1.3728424110034905
565	1.3735726304573588
575	1.3742578206676068
585	1.3748982082499135
595	1.375506332605192
605	1.3760750824862187
615	1.3766073023918832
625	1.3771071256977496
635	1.3775798861343083
645	1.378039554794236
655	1.3784608168177086
666	1.3788969268893252
676	1.3792768268301936
686	1.379640520209133
696	1.3799805546751116
706	1.3803041441605823
716	1.380608105423427
726	1.3809046096140796
736	1.3811825490233922
746	1.3814501313879939
756	1.381702166972774
766	1.3819510688876162
777	1.382212487777861
787	1.3824350137521726
797	1.3826544520878556
807	1.3828615398690252
817	1.383066681351992
827	1.383264166293758
837	1.3834574895329994
847	1.3836470535486052
857	1.3838304033373843
867	1.3840001361204846
877	1.384164513927875
888	1.3843445234959668
898	1.3845015056062453
908	1.384653616659712
918	1.3848047882023424
928	1.3849562843247216
938	1.3850998807661603
948	1.385243778181548
958	1.3853788092584893
968	1.3855188789934214
978	1.3856497436466784
988	1.3857836204000038
999	1.3859217627213734
